                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2263,                 1.6151,                 1.2741,                0.68154,                0.49339,                0.58887,                0.43733,                 1.0971,                 1.1361,                 1.1369,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.224,                 1.5095,                 1.2675,                0.67065,                 0.5468,                 0.6136,                  0.455,                 1.0874,                 1.1056,                 1.1289,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2063,                 1.4413,                 1.2205,                0.68195,                 0.5522,                0.61895,                0.46073,                 1.0814,                 1.0895,                 1.1249,             9.3058e-06,             9.3058e-06,             9.3058e-06
